date,cpi_yoy,policy_rate,unemployment,wage_growth
2010-02-01,1.5817223198594021,0.25,,
2010-03-01,1.403508771929829,0.25,,
2010-04-01,1.843722563652328,0.25,,
2010-05-01,1.3949433304272008,0.25,,
2010-06-01,0.9556907037358897,0.5,,
2010-07-01,1.8308631211856996,0.75,,
2010-08-01,1.7436791630339954,0.75,,
2010-09-01,1.9180470793374038,1.0,,
2010-10-01,2.443280977312412,1.0,,
2010-11-01,1.996527777777768,1.0,,
2010-12-01,2.3519163763066286,1.0,,
2011-01-01,2.3457862728062606,1.0,,
2011-02-01,2.1626297577854725,1.0,,
2011-03-01,3.287197231833927,1.0,,
2011-04-01,3.275862068965507,1.0,,
2011-05-01,3.6973344797936347,1.0,,
2011-06-01,3.098106712564541,1.0,,
2011-07-01,2.7397260273972712,1.0,,
2011-08-01,3.084832904884305,1.0,,
2011-09-01,3.1650983746791983,1.0,,
2011-10-01,2.8960817717206044,1.0,,
2011-11-01,2.8936170212765955,1.0,,
2011-12-01,2.297872340425533,1.0,,
2012-01-01,2.4617996604414216,1.0,,
2012-02-01,2.6248941574936513,1.0,,
2012-03-01,1.9262981574539317,1.0,,
2012-04-01,2.00333889816362,1.0,,
2012-05-01,1.243781094527363,1.0,,
2012-06-01,1.5025041736226985,1.0,,
2012-07-01,1.2499999999999956,1.0,,
2012-08-01,1.2468827930174564,1.0,,
2012-09-01,1.1608623548922115,1.0,,
2012-10-01,1.1589403973510048,1.0,,
2012-11-01,0.8271298593879317,1.0,,
2012-12-01,0.8319467554076532,1.0,,
2013-01-01,0.4971002485501197,1.0,,
2013-02-01,1.2376237623762387,1.0,,
2013-03-01,0.9860312243221037,1.0,,
2013-04-01,0.40916530278232166,1.0,,
2013-05-01,0.7371007371007376,1.0,,
2013-06-01,1.1513157894736947,1.0,,
2013-07-01,1.3168724279835287,1.0,,
2013-08-01,1.0673234811165777,1.0,,
2013-09-01,1.06557377049179,1.0,,
2013-10-01,0.6546644844517058,1.0,,
2013-11-01,0.9023789991796427,1.0,,
2013-12-01,1.2376237623762387,1.0,,
2014-01-01,1.483924154987637,1.0,,
2014-02-01,1.140994295028519,1.0,,
2014-03-01,1.5459723352318822,1.0,,
2014-04-01,2.037489812550941,1.0,,
2014-05-01,2.276422764227637,1.0,,
2014-06-01,2.357723577235782,1.0,,
2014-07-01,2.1121039805036546,1.0,,
2014-08-01,2.1121039805036546,1.0,,
2014-09-01,2.0275750202757514,1.0,,
2014-10-01,2.357723577235782,1.0,,
2014-11-01,1.9512195121951237,1.0,,
2014-12-01,1.4669926650366705,1.0,,
2015-01-01,0.9748172217709294,0.75,,
2015-02-01,1.0475423045930743,0.75,,
2015-03-01,1.2019230769230838,0.75,,
2015-04-01,0.7987220447284393,0.75,,
2015-05-01,0.8744038155802825,0.75,,
2015-06-01,1.0325655281969714,0.75,,
2015-07-01,1.2728719172633296,0.5,,
2015-08-01,1.2728719172633296,0.5,,
2015-09-01,1.0333863275039823,0.5,,
2015-10-01,1.0325655281969714,0.5,,
2015-11-01,1.3556618819776656,0.5,,
2015-12-01,1.6064257028112428,0.5,,
2016-01-01,2.011263073209979,0.5,,
2016-02-01,1.3556618819776656,0.5,,
2016-03-01,1.2668250197941378,0.5,,
2016-04-01,1.6640253565768592,0.5,,
2016-05-01,1.497241922773851,0.5,,
2016-06-01,1.4937106918238907,0.5,,
2016-07-01,1.256873527101332,0.5,,
2016-08-01,1.09976433621366,0.5,,
2016-09-01,1.337529504327306,0.5,,
2016-10-01,1.4937106918238907,0.5,,
2016-11-01,1.1801730920534936,0.5,,
2016-12-01,1.5019762845849938,0.5,,
2017-01-01,2.1293375394321856,0.5,,
2017-02-01,2.0456333595594067,0.5,,
2017-03-01,1.5637216575449475,0.5,,
2017-04-01,1.636788776305531,0.5,,
2017-05-01,1.3198757763975166,0.5,,
2017-06-01,1.0069713400464808,0.5,,
2017-07-01,1.1636927851047307,0.75,,
2017-08-01,1.3986013986014179,0.75,,
2017-09-01,1.552795031055898,1.0,,
2017-10-01,1.3942680092951187,1.0,,
2017-11-01,2.0995334370140117,1.0,,
2017-12-01,1.869158878504673,1.0,,
2018-01-01,1.698841698841691,1.25,,
2018-02-01,2.1588280647648617,1.25,,
2018-03-01,2.3094688221708903,1.25,,
2018-04-01,2.223926380368102,1.25,,
2018-05-01,2.2222222222222365,1.25,,
2018-06-01,2.4539877300613355,1.25,,
2018-07-01,2.9907975460122804,1.5,,
2018-08-01,2.8352490421455823,1.5,,
2018-09-01,2.2171253822629744,1.5,,
2018-10-01,2.444614209320073,1.75,,
2018-11-01,1.6755521706016685,1.75,,
2018-12-01,1.9877675840978437,1.75,,
2019-01-01,1.4426727410782103,1.75,,
2019-02-01,1.5094339622641506,1.75,,
2019-03-01,1.8811136192625977,1.75,,
2019-04-01,2.025506376594133,1.75,,
2019-05-01,2.398800599700146,1.75,,
2019-06-01,2.020958083832358,1.75,,
2019-07-01,2.010424422933732,1.75,,
2019-08-01,1.9374068554396606,1.75,,
2019-09-01,1.8698578908002972,1.75,,
2019-10-01,1.8642803877703118,1.75,,
2019-11-01,2.1722846441947663,1.75,,
2019-12-01,2.2488755622188883,1.75,,
2020-01-01,2.3952095808383422,1.75,,
2020-02-01,2.1561338289962872,1.75,,
2020-03-01,0.8862629246676468,0.25,,
2020-04-01,-0.22058823529412797,0.25,,
2020-05-01,-0.36603221083455484,0.25,,
2020-06-01,0.6603081438004255,0.25,,
2020-07-01,0.14598540145984717,0.25,,
2020-08-01,0.14619883040933868,0.25,,
2020-09-01,0.5139500734214542,0.25,,
2020-10-01,0.6588579795022032,0.25,,
2020-11-01,0.9530791788856074,0.25,,
2020-12-01,0.7331378299120228,0.25,,
2021-01-01,1.0233918128654818,0.25,,
2021-02-01,1.091703056768556,0.25,,
2021-03-01,2.196193265007329,0.25,,
2021-04-01,3.3898305084745894,0.25,,
2021-05-01,3.6002939015429947,0.25,,
2021-06-01,3.061224489795933,0.25,,
2021-07-01,3.7172011661807725,0.25,,
2021-08-01,4.0875912408758985,0.25,,
2021-09-01,4.382761139517899,0.25,,
2021-10-01,4.654545454545467,0.25,,
2021-11-01,4.720406681191003,0.25,,
2021-12-01,4.8034934497816595,0.25,,
2022-01-01,5.137481910274988,0.25,,
2022-02-01,5.6875449964002955,0.25,,
2022-03-01,6.6618911174785245,0.5,,
2022-04-01,6.77120456165361,1.0,,
2022-05-01,7.730496453900715,1.0,,
2022-06-01,8.13295615275813,1.5,,
2022-07-01,7.589599437807437,2.5,,
2022-08-01,7.012622720897621,2.5,,
2022-09-01,6.857942617214818,3.25,,
2022-10-01,6.879777623349548,3.75,,
2022-11-01,6.796116504854388,3.75,,
2022-12-01,6.319444444444433,4.25,,
2023-01-01,5.918788713007572,4.5,,
2023-02-01,5.245231607629419,4.5,,
2023-03-01,4.298186702484896,4.5,,
2023-04-01,4.4058744993324295,4.5,,
2023-05-01,3.3574720210664877,4.5,,
2023-06-01,2.8122956180510084,4.75,,
2023-07-01,3.2658393207054104,5.0,,
2023-08-01,3.997378768020976,5.0,,
2023-09-01,3.7982973149967236,5.0,,
2023-10-01,3.1209362808842567,5.0,,
2023-11-01,3.116883116883118,5.0,,
2023-12-01,3.396472893533642,5.0,,
2024-01-01,2.8589993502274202,5.0,,
2024-02-01,2.783171521035599,5.0,,
2024-03-01,2.8976175144880933,5.0,,
2024-04-01,2.6854219948849067,5.0,,
2024-05-01,2.866242038216571,5.0,,
2024-06-01,2.6717557251908497,4.75,,
2024-07-01,2.5300442757748343,4.5,,
2024-08-01,1.953371140516702,4.5,,
2024-09-01,1.6403785488958933,4.25,,
2024-10-01,2.0176544766708826,3.75,,
2024-11-01,1.8891687657430767,3.75,,
2024-12-01,1.831964624131377,3.25,,
2025-01-01,1.8951358180669509,3.0,,
2025-02-01,2.644836272040285,3.0,,
2025-03-01,2.3153942428034924,2.75,,
2025-04-01,1.7434620174346271,2.75,,
2025-05-01,1.7337461300309664,2.75,,
2025-06-01,1.8587360594795488,2.75,,
2025-07-01,1.727328809376938,2.75,,
2025-08-01,1.8541409147095234,2.75,,
2025-09-01,2.358783364369965,2.5,,
2025-10-01,2.163164400494444,2.25,,
2025-11-01,2.224969097651419,2.25,,
